Type,SKU,Name,Parent,Published,Regular price,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Short description,Description,Images,material
variable,impexo-camera-protection,Coque Protection Caméra Renforcée – Série iPhone 17,,1,,Modèle,"iPhone 17, iPhone 17 Air, iPhone 17 Pro, iPhone 17 Pro Max",1,0,Couleur,"Blanc, Noir, Vert, Rose, Bleu, Rouge, Gris, Violet, Argent, Marron",1,0,Référence,"JOJO1015-1, JOJO1015-3, JOJO1015-5, JOJO1015-9, JOJO1015-10, JOJO1015-13, JOJO1015-19",1,0,"Rebord surélevé autour du module caméra. Finesse élégante, prise en main confortable.","Conçue pour protéger efficacement l’appareil au quotidien, cette coque intègre un rebord surélevé autour du module caméra afin de limiter les rayures et les impacts directs. Sa structure absorbe les chocs tout en conservant une finesse élégante et une prise en main confortable. Compatibilité par modèle : iPhone 17 : protection précise du module caméra ; iPhone 17 Air : coque légère adaptée au format affiné ; iPhone 17 Pro : protection renforcée pour module avancé ; iPhone 17 Pro Max : maintien optimal sur grand format. Mention légale : Produit compatible avec les modèles iPhone 17, 17 Air, 17 Pro et 17 Pro Max. La marque Apple® est mentionnée uniquement à titre de compatibilité. IMPEXO est une marque indépendante.",https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-1P.JPG,
variable,impexo-transparent,Coque Transparente Premium – Série iPhone 17,,1,,Modèle,"iPhone 17, iPhone 17 Air, iPhone 17 Pro, iPhone 17 Pro Max",1,0,Couleur,"Transparent, Gris, Jaune, Violet",1,0,Référence,"JOJO1015-2, JOJO1015-4",1,0,Préserve le design d’origine. Protection discrète contre rayures et chocs.,"Idéale pour conserver le design d’origine, cette coque transparente protège contre les rayures et les chocs du quotidien tout en restant discrète et élégante. Mention légale : Produit compatible avec les modèles iPhone 17, 17 Air, 17 Pro et 17 Pro Max. La marque Apple® est mentionnée uniquement à titre de compatibilité. IMPEXO est une marque indépendante.",https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-4P.JPG,
variable,impexo-luxury-transparent,Coque Luxury Transparente – Série iPhone 17,,1,,Modèle,"iPhone 17, iPhone 17 Air, iPhone 17 Pro, iPhone 17 Pro Max",1,0,Couleur,"Argent, Rose, Bleu, Violet, Noir, Or, Rouge",1,0,Référence,"JOJO1015-24, JOJO1015-25",1,0,Transparence premium avec détails décoratifs raffinés. Protection fiable.,"Version transparente à finition premium avec détails décoratifs raffinés, alliant esthétique et protection fiable. Mention légale : Produit compatible avec les modèles iPhone 17, 17 Air, 17 Pro et 17 Pro Max. La marque Apple® est mentionnée uniquement à titre de compatibilité. IMPEXO est une marque indépendante.",https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-24P.JPG,
variable,impexo-magnetic,Coque Magnétique – Série iPhone 17,,1,,Modèle,"iPhone 17, iPhone 17 Air, iPhone 17 Pro, iPhone 17 Pro Max",1,0,Couleur,"Noir, Blanc, Violet, Bleu, Vert sombre, Or désert, Jaune, Fuchsia",1,0,Référence,"JOJO1015-6, JOJO1015-11, JOJO1015-21",1,0,Système magnétique intégré. Maintien stable avec accessoires compatibles.,"Équipée d’un système magnétique intégré, cette coque assure un maintien stable avec les accessoires compatibles tout en protégeant efficacement l’appareil. Note : certaines versions peuvent être compatibles MagSafe selon le design. Mention légale : Produit compatible avec les modèles iPhone 17, 17 Air, 17 Pro et 17 Pro Max. La marque Apple® est mentionnée uniquement à titre de compatibilité. IMPEXO est une marque indépendante.",https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-11P.JPG,
variable,impexo-luxury-metal,Coque Luxury Metal Frame – Série iPhone 17,,1,,Modèle,"iPhone 17, iPhone 17 Air, iPhone 17 Pro, iPhone 17 Pro Max",1,0,Couleur,"Violet, Gris, Or désert, Orange, Argent, Or rose, Noir, Vert sombre, Marron, Bleu",1,0,Référence,"JOJO1015-18, JOJO1015-22, JOJO1015-23",1,0,Cadre à finition métallique. Protection structurelle renforcée.,"Dotée d’un cadre à finition métallique, cette coque offre une protection structurelle renforcée et un rendu haut de gamme. Mention légale : Produit compatible avec les modèles iPhone 17, 17 Air, 17 Pro et 17 Pro Max. La marque Apple® est mentionnée uniquement à titre de compatibilité. IMPEXO est une marque indépendante.",https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-22P.JPG,
variable,impexo-anti-slip-matte,Coque Texture Antidérapante – Série iPhone 17,,1,,Modèle,"iPhone 17, iPhone 17 Air, iPhone 17 Pro, iPhone 17 Pro Max",1,0,Couleur,"Noir, Rose, Violet, Marron, Bleu nuit",1,0,Référence,"JOJO1015-12, JOJO1015-15",1,0,Surface mate et texture antidérapante. Prise en main sûre.,"Surface mate et texture antidérapante pour une prise en main sûre et confortable au quotidien. Mention légale : Produit compatible avec les modèles iPhone 17, 17 Air, 17 Pro et 17 Pro Max. La marque Apple® est mentionnée uniquement à titre de compatibilité. IMPEXO est une marque indépendante.",https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-12P.JPG,
variable,impexo-jean,Coque Effet Cuir / Jean – Série iPhone 17,,1,,Modèle,"iPhone 17, iPhone 17 Air, iPhone 17 Pro, iPhone 17 Pro Max",1,0,Couleur,"Bleu denim, Noir, Gris, Marron",1,0,Référence,JOJO1015-16,1,0,"Finition texturée effet cuir / jean. Style distinctif, protection fiable.","Finition texturée effet cuir / jean, alliant style distinctif et protection fiable. Mention légale : Produit compatible avec les modèles iPhone 17, 17 Air, 17 Pro et 17 Pro Max. La marque Apple® est mentionnée uniquement à titre de compatibilité. IMPEXO est une marque indépendante.",https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-16P.JPG,
variable,impexo-pc-tpu,Coque Renforcée PC + TPU – Série iPhone 17,,1,,Modèle,"iPhone 17, iPhone 17 Air, iPhone 17 Pro, iPhone 17 Pro Max",1,0,Couleur,"Noir, Vert, Rose, Violet, Argent, Vert sombre, Doré, Rouge, Bleu, Bordeaux, Marron",1,0,Référence,"JOJO1015-7, JOJO1015-8, JOJO1015-14, JOJO1015-17, JOJO1015-20",1,0,Association de matériaux résistants. Protection renforcée au quotidien.,"Association de matériaux résistants pour une protection renforcée contre les chocs et l’usure quotidienne. Mention légale : Produit compatible avec les modèles iPhone 17, 17 Air, 17 Pro et 17 Pro Max. La marque Apple® est mentionnée uniquement à titre de compatibilité. IMPEXO est une marque indépendante.",https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-7P.JPG,
variation,impexo-camera-protection--jojo1015-1--17--blanc,,impexo-camera-protection,1,14.90,Modèle,iPhone 17,1,0,Couleur,Blanc,1,0,Référence,JOJO1015-1,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-1.JPG,TPU
variation,impexo-camera-protection--jojo1015-1--air--noir,,impexo-camera-protection,1,14.90,Modèle,iPhone 17 Air,1,0,Couleur,Noir,1,0,Référence,JOJO1015-1,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-1AIR.JPG,TPU
variation,impexo-camera-protection--jojo1015-1--pro--vert,,impexo-camera-protection,1,14.90,Modèle,iPhone 17 Pro,1,0,Couleur,Vert,1,0,Référence,JOJO1015-1,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-1P.JPG,TPU
variation,impexo-camera-protection--jojo1015-1--promax--rose,,impexo-camera-protection,1,14.90,Modèle,iPhone 17 Pro Max,1,0,Couleur,Rose,1,0,Référence,JOJO1015-1,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-1PM.JPG,TPU
variation,impexo-camera-protection--jojo1015-3--17--noir,,impexo-camera-protection,1,17.90,Modèle,iPhone 17,1,0,Couleur,Noir,1,0,Référence,JOJO1015-3,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-3.jpg,TPU
variation,impexo-camera-protection--jojo1015-3--air--bleu,,impexo-camera-protection,1,17.90,Modèle,iPhone 17 Air,1,0,Couleur,Bleu,1,0,Référence,JOJO1015-3,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-3AIR.JPG,TPU
variation,impexo-camera-protection--jojo1015-3--pro--rouge,,impexo-camera-protection,1,17.90,Modèle,iPhone 17 Pro,1,0,Couleur,Rouge,1,0,Référence,JOJO1015-3,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-3P.jpg,TPU
variation,impexo-camera-protection--jojo1015-3--promax--gris,,impexo-camera-protection,1,17.90,Modèle,iPhone 17 Pro Max,1,0,Couleur,Gris,1,0,Référence,JOJO1015-3,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-3PM.JPG,TPU
variation,impexo-camera-protection--jojo1015-5--17--argent,,impexo-camera-protection,1,17.90,Modèle,iPhone 17,1,0,Couleur,Argent,1,0,Référence,JOJO1015-5,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-5AIR.jpg,TPU
variation,impexo-camera-protection--jojo1015-5--air--noir,,impexo-camera-protection,1,17.90,Modèle,iPhone 17 Air,1,0,Couleur,Noir,1,0,Référence,JOJO1015-5,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-5AIR.jpg,TPU
variation,impexo-camera-protection--jojo1015-5--pro--bleu,,impexo-camera-protection,1,19.90,Modèle,iPhone 17 Pro,1,0,Couleur,Bleu,1,0,Référence,JOJO1015-5,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-5P.JPG,TPU
variation,impexo-camera-protection--jojo1015-5--promax--rose,,impexo-camera-protection,1,19.90,Modèle,iPhone 17 Pro Max,1,0,Couleur,Rose,1,0,Référence,JOJO1015-5,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-5PM.JPG,TPU
variation,impexo-camera-protection--jojo1015-9--17--noir,,impexo-camera-protection,1,22.90,Modèle,iPhone 17,1,0,Couleur,Noir,1,0,Référence,JOJO1015-9,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-9.JPG,TPU
variation,impexo-camera-protection--jojo1015-9--air--rose,,impexo-camera-protection,1,22.90,Modèle,iPhone 17 Air,1,0,Couleur,Rose,1,0,Référence,JOJO1015-9,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-9AIR.JPG,TPU
variation,impexo-camera-protection--jojo1015-9--pro--bleu,,impexo-camera-protection,1,22.90,Modèle,iPhone 17 Pro,1,0,Couleur,Bleu,1,0,Référence,JOJO1015-9,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-9P.JPG,TPU
variation,impexo-camera-protection--jojo1015-9--promax--argent,,impexo-camera-protection,1,22.90,Modèle,iPhone 17 Pro Max,1,0,Couleur,Argent,1,0,Référence,JOJO1015-9,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-9PM.JPG,TPU
variation,impexo-camera-protection--jojo1015-10--17--noir,,impexo-camera-protection,1,22.90,Modèle,iPhone 17,1,0,Couleur,Noir,1,0,Référence,JOJO1015-10,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-10.JPG,TPU
variation,impexo-camera-protection--jojo1015-10--air--bleu,,impexo-camera-protection,1,22.90,Modèle,iPhone 17 Air,1,0,Couleur,Bleu,1,0,Référence,JOJO1015-10,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-10AIR.JPG,TPU
variation,impexo-camera-protection--jojo1015-10--pro--blanc,,impexo-camera-protection,1,22.90,Modèle,iPhone 17 Pro,1,0,Couleur,Blanc,1,0,Référence,JOJO1015-10,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-10P.JPG,TPU
variation,impexo-camera-protection--jojo1015-10--promax--violet,,impexo-camera-protection,1,22.90,Modèle,iPhone 17 Pro Max,1,0,Couleur,Violet,1,0,Référence,JOJO1015-10,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-10PM.JPG,TPU
variation,impexo-camera-protection--jojo1015-13--17--noir,,impexo-camera-protection,1,24.90,Modèle,iPhone 17,1,0,Couleur,Noir,1,0,Référence,JOJO1015-13,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-13.JPG,PC
variation,impexo-camera-protection--jojo1015-13--air--rouge,,impexo-camera-protection,1,24.90,Modèle,iPhone 17 Air,1,0,Couleur,Rouge,1,0,Référence,JOJO1015-13,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-13AIR.JPG,PC
variation,impexo-camera-protection--jojo1015-13--pro--violet,,impexo-camera-protection,1,24.90,Modèle,iPhone 17 Pro,1,0,Couleur,Violet,1,0,Référence,JOJO1015-13,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-13P.JPG,PC
variation,impexo-camera-protection--jojo1015-13--promax--bleu,,impexo-camera-protection,1,24.90,Modèle,iPhone 17 Pro Max,1,0,Couleur,Bleu,1,0,Référence,JOJO1015-13,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-13PM.JPG,PC
variation,impexo-camera-protection--jojo1015-19--17--marron,,impexo-camera-protection,1,26.90,Modèle,iPhone 17,1,0,Couleur,Marron,1,0,Référence,JOJO1015-19,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-19.JPG,TPU
variation,impexo-camera-protection--jojo1015-19--air--argent,,impexo-camera-protection,1,26.90,Modèle,iPhone 17 Air,1,0,Couleur,Argent,1,0,Référence,JOJO1015-19,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-19AIR.JPG,TPU
variation,impexo-camera-protection--jojo1015-19--pro--rouge,,impexo-camera-protection,1,26.90,Modèle,iPhone 17 Pro,1,0,Couleur,Rouge,1,0,Référence,JOJO1015-19,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-19P.JPG,TPU
variation,impexo-camera-protection--jojo1015-19--promax--violet,,impexo-camera-protection,1,26.90,Modèle,iPhone 17 Pro Max,1,0,Couleur,Violet,1,0,Référence,JOJO1015-19,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-19PM.JPG,TPU
variation,impexo-transparent--jojo1015-2--17--transparent,,impexo-transparent,1,14.90,Modèle,iPhone 17,1,0,Couleur,Transparent,1,0,Référence,JOJO1015-2,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-2.JPG,TPU
variation,impexo-transparent--jojo1015-2--air--gris,,impexo-transparent,1,14.90,Modèle,iPhone 17 Air,1,0,Couleur,Gris,1,0,Référence,JOJO1015-2,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-2AIR.JPG,TPU
variation,impexo-transparent--jojo1015-2--pro--jaune,,impexo-transparent,1,14.90,Modèle,iPhone 17 Pro,1,0,Couleur,Jaune,1,0,Référence,JOJO1015-2,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-2P.JPG,TPU
variation,impexo-transparent--jojo1015-2--promax--violet,,impexo-transparent,1,14.90,Modèle,iPhone 17 Pro Max,1,0,Couleur,Violet,1,0,Référence,JOJO1015-2,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-2PM.JPG,TPU
variation,impexo-transparent--jojo1015-4--17--transparent,,impexo-transparent,1,17.90,Modèle,iPhone 17,1,0,Couleur,Transparent,1,0,Référence,JOJO1015-4,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-4.JPG,Acrylic+TPU
variation,impexo-transparent--jojo1015-4--air--transparent,,impexo-transparent,1,17.90,Modèle,iPhone 17 Air,1,0,Couleur,Transparent,1,0,Référence,JOJO1015-4,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-4AIR.JPG,Acrylic+TPU
